FROM_COMP,LIB_COMPONENT
CargoCase,CargoCase
side_hub_r,0394od_para_hub_3
capsule_fuselage,capsule_fuselage
front_wing_tube_l,0394OD_para_tube
top_leg_r,0394OD_para_tube
front_railDwn_r,0394OD_para_tube
rear_flange_l,0394_para_flange
vertical_l,0394OD_para_tube
vertical_r,0394OD_para_tube
rear_hub_r,0394od_para_hub_3
front_left_wing,Wing_vert_hole
rear_rail_l,0394OD_para_tube
rear_motor_l,t_motor_AntigravityMN4006KV380
side_hub_l,0394od_para_hub_3
Autopilot,Autopilot
bottom_leg_l,0394OD_para_tube
main_hub,0394od_para_hub_3
front_rail_l,0394OD_para_tube
front_hub_l,0394od_para_hub_4
rear_prop_l,apc_propellers_12x3_8SF
front_flange_r,0394_para_flange
rudder_tube_l,0394OD_para_tube
Voltage,Voltage
Cargo,Cargo
right_rudder,Wing_vert_hole
rear_prop_r,apc_propellers_12x3_8SF
front_hubLower_r,0394od_para_hub_2
rear_motor_r,t_motor_AntigravityMN4006KV380
front_hub_r,0394od_para_hub_4
rear_left_wing,Wing_vert_hole
mid_tube_l,0394OD_para_tube
rear_right_wing,Wing_vert_hole
rear_rail_r,0394OD_para_tube
mid_tube_r,0394OD_para_tube
front_motor_l,t_motor_AntigravityMN4006KV380
rear_flange_r,0394_para_flange
front_prop_l,apc_propellers_12x3_8SF
front_flange_l,0394_para_flange
GPS,GPS
front_railDwn_l,0394OD_para_tube
Battery_2,TurnigyGraphene6000mAh6S75C
Variometer,Variometer
Battery_1,TurnigyGraphene6000mAh6S75C
front_rail_r,0394OD_para_tube
left_rudder,Wing_vert_hole
rear_hub_l,0394od_para_hub_3
front_railLower_r,0394OD_para_tube
Orient,Orient
top_leg_l,0394OD_para_tube
bottom_leg_r,0394OD_para_tube
front_wing_tube_r,0394OD_para_tube
front_hubLower_l,0394od_para_hub_2
Current,Current
front_railLower_l,0394OD_para_tube
front_motor_r,t_motor_AntigravityMN4006KV380
front_prop_r,apc_propellers_12x3_8SF
BatteryController,BatteryController
front_right_wing,Wing_vert_hole
rudder_tube_r,0394OD_para_tube
RpmTemp,RpmTemp
